#Frame RMSD_Angstrom
2.000000 0.000000
4.000000 2.559882
6.000000 3.550795
8.000000 4.647264
10.000000 4.165581
12.000000 3.555287
14.000000 3.721901
16.000000 3.892915
18.000000 3.886494
20.000000 4.089751
22.000000 3.666394
24.000000 3.898242
26.000000 3.856728
28.000000 5.202963
30.000000 5.166258
32.000000 5.478436
34.000000 5.213595
36.000000 5.795232
38.000000 5.433300
40.000000 6.556594
42.000000 6.416638
44.000000 7.771065
46.000000 7.051951
48.000000 8.933636
50.000000 7.755169
52.000000 7.078305
54.000000 6.608309
56.000000 5.895732
58.000000 5.044253
60.000000 5.277946
62.000000 5.521750
64.000000 6.295693
66.000000 5.750211
68.000000 5.216152
70.000000 89.227356
72.000000 89.175385
74.000000 89.255890
76.000000 5.647990
78.000000 4.728846
80.000000 5.401065
82.000000 4.765510
84.000000 5.235423
86.000000 4.249204
88.000000 4.727197
90.000000 3.692062
92.000000 5.680456
94.000000 4.211755
96.000000 4.245669
98.000000 3.875559
100.000000 3.674898
102.000000 3.822982
104.000000 3.608142
106.000000 3.341195
108.000000 4.734931
110.000000 89.529160
112.000000 4.649470
114.000000 4.862284
116.000000 6.304576
118.000000 89.938400
120.000000 5.471595
122.000000 6.833683
124.000000 89.592606
126.000000 89.249336
128.000000 4.034269
130.000000 88.882301
132.000000 89.111031
134.000000 88.781044
136.000000 88.966225
138.000000 89.904831
140.000000 88.837372
142.000000 89.625214
144.000000 89.266663
146.000000 89.389404
148.000000 88.991470
150.000000 89.417740
152.000000 89.145775
154.000000 88.828720
156.000000 88.585136
158.000000 88.833023
160.000000 89.748322
162.000000 88.940163
164.000000 88.961113
166.000000 89.181831
168.000000 88.736229
170.000000 8.907129
172.000000 88.576065
174.000000 8.705900
176.000000 87.696190
178.000000 5.449929
180.000000 5.033727
182.000000 7.675120
184.000000 7.349634
186.000000 8.463172
188.000000 7.457260
190.000000 8.156506
192.000000 8.696633
194.000000 10.272221
196.000000 9.548853
198.000000 9.105581
200.000000 87.952942
202.000000 85.863152
204.000000 85.781013
206.000000 86.804359
208.000000 86.199860
210.000000 10.839817
212.000000 10.523874
214.000000 87.304932
216.000000 88.316559
218.000000 87.154968
220.000000 9.834406
222.000000 10.999788
224.000000 9.588428
226.000000 10.676986
228.000000 9.594136
230.000000 8.895382
232.000000 9.708329
234.000000 8.521364
236.000000 10.278329
238.000000 9.928250
240.000000 9.522147
242.000000 8.861847
244.000000 9.546982
246.000000 10.144691
248.000000 10.101886
