#Frame RMSD_Angstrom
2.000000 0.000000
4.000000 1.311641
6.000000 1.907827
8.000000 2.099767
10.000000 2.565156
12.000000 2.915725
14.000000 2.613689
16.000000 3.086558
18.000000 3.103087
20.000000 2.640150
22.000000 2.748111
24.000000 2.758652
26.000000 2.686789
28.000000 2.958289
30.000000 3.618675
32.000000 2.936120
34.000000 2.664321
36.000000 3.902494
38.000000 2.765504
40.000000 3.202296
42.000000 3.187755
44.000000 2.997116
46.000000 3.061289
48.000000 3.449499
50.000000 3.498177
52.000000 3.005514
54.000000 3.549850
56.000000 3.427676
58.000000 3.470895
60.000000 3.356662
62.000000 3.583754
64.000000 3.751768
66.000000 3.620385
68.000000 3.071885
70.000000 3.338889
72.000000 2.842025
74.000000 2.547705
76.000000 3.236408
78.000000 3.023402
80.000000 3.299040
82.000000 2.969563
84.000000 2.559844
86.000000 2.659026
88.000000 2.747903
90.000000 2.356027
92.000000 2.340206
94.000000 2.410125
96.000000 2.091365
98.000000 2.702400
100.000000 2.727131
102.000000 2.433316
104.000000 2.827479
106.000000 2.647258
108.000000 2.238258
110.000000 2.126263
112.000000 2.681603
114.000000 2.668784
116.000000 2.238612
118.000000 2.629517
120.000000 2.577776
122.000000 2.185974
124.000000 2.089915
126.000000 2.669096
128.000000 1.935158
130.000000 2.497100
132.000000 2.487075
134.000000 2.263385
136.000000 2.670034
138.000000 2.368388
140.000000 2.702221
142.000000 2.645616
144.000000 2.822210
146.000000 2.260804
148.000000 2.346035
150.000000 3.019798
152.000000 3.385760
154.000000 2.775109
156.000000 2.895762
158.000000 2.994947
160.000000 3.219063
162.000000 3.096444
164.000000 3.924060
166.000000 3.422689
168.000000 3.140908
170.000000 3.016379
172.000000 2.903758
174.000000 3.515718
176.000000 3.489593
178.000000 3.636191
180.000000 3.643043
182.000000 3.914616
184.000000 3.537161
186.000000 3.873094
188.000000 4.211093
190.000000 4.000559
192.000000 3.864730
194.000000 4.053291
196.000000 3.437104
198.000000 3.701016
200.000000 3.266080
202.000000 3.376123
204.000000 3.375954
206.000000 3.541267
208.000000 3.250636
210.000000 4.245250
212.000000 3.334125
214.000000 3.265972
216.000000 2.686527
218.000000 2.803540
220.000000 2.924131
222.000000 3.132719
224.000000 3.475168
226.000000 2.922268
228.000000 3.453380
230.000000 3.351897
232.000000 3.315689
234.000000 3.179700
236.000000 4.172881
238.000000 3.222062
240.000000 3.243009
242.000000 2.809016
244.000000 3.044994
246.000000 2.967108
248.000000 2.976195
