#AtomName RMSF_Angstrom
C 3.030523
N 2.949355
C1 2.743943
N1 2.772246
N2 2.881204
C2 3.183653
C3 3.108421
F 3.401028
C4 3.689444
C5 4.309112
N3 5.210002
N4 5.239635
C6 4.387753
C7 6.241159
C8 4.744025
C9 6.535384
C10 5.847826
C11 4.786689
C12 3.005401
N5 3.318741
C13 3.143513
C14 3.769518
C15 3.737820
C16 3.723116
N6 4.442288
C17 5.052692
C18 4.606299
C19 5.899265
C20 5.414536
N7 5.848628
C21 6.707730
