#AtomName RMSF_Angstrom
C 4.055101
C1 4.118243
C2 3.434402
C3 2.912615
N 2.751465
C4 2.612234
C5 2.689938
N1 2.877723
C6 2.779846
C7 3.617008
S 4.089925
O 4.456556
O1 4.658669
C8 4.300676
N2 3.195791
C9 3.614377
C10 3.755641
C11 4.449897
C12 4.660827
N3 4.949615
