#Frame RMSD_Angstrom
10.000000 0.000000
20.000000 1.589065
30.000000 2.161031
40.000000 2.291139
50.000000 2.651584
60.000000 2.719214
70.000000 2.617562
80.000000 2.480486
90.000000 2.309464
100.000000 2.469558
110.000000 2.392491
120.000000 2.660357
130.000000 2.835182
140.000000 2.476967
150.000000 2.754893
160.000000 2.538162
170.000000 2.429162
180.000000 2.489486
190.000000 2.374955
200.000000 2.455793
210.000000 2.619998
220.000000 2.578463
230.000000 2.384206
240.000000 2.304083
250.000000 2.781984
260.000000 2.878058
270.000000 2.789487
280.000000 2.944145
290.000000 2.886549
300.000000 2.960011
310.000000 3.877736
320.000000 3.379459
330.000000 2.714257
340.000000 3.365450
350.000000 3.529203
360.000000 3.053706
370.000000 3.169110
380.000000 3.005451
390.000000 3.418611
400.000000 3.348043
410.000000 3.545208
420.000000 3.196554
430.000000 2.999191
440.000000 3.195107
450.000000 3.287943
460.000000 3.011736
470.000000 3.193146
480.000000 3.169682
490.000000 3.221222
500.000000 3.032388
510.000000 2.872051
520.000000 3.174868
530.000000 3.109468
540.000000 3.324739
550.000000 3.093157
560.000000 2.991275
570.000000 3.571845
580.000000 3.349144
590.000000 3.188356
600.000000 2.840896
610.000000 2.687617
620.000000 2.599719
630.000000 3.289243
640.000000 3.021537
650.000000 3.639474
660.000000 3.770536
670.000000 3.407856
680.000000 3.182365
690.000000 3.138833
700.000000 3.119806
710.000000 3.196261
720.000000 3.258771
730.000000 3.579082
740.000000 2.966254
750.000000 3.821771
760.000000 3.167668
770.000000 3.829056
780.000000 3.262201
790.000000 3.594133
800.000000 4.117027
810.000000 3.644136
820.000000 3.666256
830.000000 3.675443
840.000000 3.448162
850.000000 3.587791
860.000000 3.293050
870.000000 3.400116
880.000000 2.635505
890.000000 3.559448
900.000000 3.619827
910.000000 3.919858
920.000000 3.587187
930.000000 3.424754
940.000000 3.082938
950.000000 3.368805
960.000000 3.598626
970.000000 3.248406
980.000000 3.484157
990.000000 3.426343
1000.000000 3.500971
