SMILES,Max_Tanimoto,Similar_To,HOMO_LUMO_Gap_eV,Polarizability_Bohr3,HOMO_eV,LUMO_eV,Dipole_Debye,Internal_Energy_kcal
Fc1ccc(CN2CCN(c3nc4sccc4n4cccc34)CC2)cc1,0.311,Abemaciclib,7.7517,62.68460846,-7.4117,0.3162,2.877486706,-366201.75
Fc1ccc(CN2CCN(c3nc4ccccc4n4cccc34)CC2)cc1,0.31,Abemaciclib,7.6958,62.95507431,-7.2338,0.3694,2.80625844,-367907.79
Nc1ccc2nc(N3CCNCC3)cnc2c1,0.308,Ribociclib,6.4925,73.52043152,-5.9255,1.2509,3.043007851,-315548.92
Fc1ccc2nc(N3CCNCC3)cnc2c1,0.308,Ribociclib,6.5657,59.45901489,-7.1446,0.0885,3.082853079,-352480.89
Brc1ccc2nc(N3CCNCC3)cnc2c1,0.308,Ribociclib,6.8863,69.78289795,-6.7579,1.275,3.035788536,-315557.5
Clc1ccc2ncc(N3CCNCC3)nc2c1,0.308,Ribociclib,6.924,66.72241211,-6.7204,1.2903,2.744127989,-315364.77
Clc1ccc2nc(N3CCNCC3)cnc2c1,0.308,Ribociclib,6.9466,66.72241211,-6.7204,1.281,2.948323488,-315364.77
CCn1cc(C(=O)O)c(=O)c2ccc(N3CCNCC3)cc21,0.306,Ribociclib,7.5366,63.72963333,-6.2013,0.7288,4.162722588,-322988.5
Cc1ccc(CN2CCOCC2)cc1NC(=O)c1ccc(Nc2nc(-c3ccc(OC(F)(F)F)cc3)c3ccsc3n2)cc1,0.306,Abemaciclib,7.6499,65.24968719,-7.7078,0.6946,3.784324408,-337061.65
Cc1ccc(CN2CCOCC2)cc1NC(=O)c1ccc(Nc2nc(-c3ccc(OC(F)(F)F)cc3)c3nc[nH]c3n2)cc1,0.306,Abemaciclib,8.1688,64.81581116,-6.6744,1.0514,2.739398003,-337627.19
CSc1ccc(Nc2nc(NCCN3CCCC3)c3ccccc3n2)cc1,0.303,Abemaciclib,7.041,69.91617584,-6.4917,1.4323,2.906559229,-304825.71
O=C(c1ccc2ccccc2c1)N(C1CCC1)C1CCNCC1,0.303,Ribociclib,8.4673,69.61065674,-6.7105,1.4262,3.536554575,-372341.07
c1ccc(Nc2ncc3c(n2)CCCC3)cc1,0.302,Abemaciclib,7.6597,69.37618256,-6.8369,0.8226,2.64760232,-304210.25
Cc1c(N2CCNCC2)c(N)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0.3,Palbociclib,7.3181,65.01525879,-6.0872,0.6598,4.861768723,-322465.36
