#AtomName RMSF_Angstrom
C 9.736450
C1 10.164404
C2 10.529396
C3 11.167971
C4 10.401783
C5 9.970416
C6 9.673041
N 9.485577
C7 9.243582
N1 9.187959
C8 9.688659
C9 9.568668
C10 10.082525
N2 10.029397
N3 8.895406
C11 8.734882
N4 8.229896
C12 9.183175
C13 8.316690
C14 7.932127
C15 8.109587
C16 7.433066
C17 7.814792
C18 7.110432
C19 7.309864
C20 9.966258
N5 9.732361
C21 9.665342
C22 9.639611
C23 9.662216
C24 9.656716
N6 9.602190
C25 9.765884
O 9.774143
C26 10.212998
