#AtomName RMSF_Angstrom
C1 3.728708
C2 3.323857
C3 3.117368
C4 3.314957
C5 2.817194
C6 2.703636
C7 2.983997
N8 2.451670
C9 2.331377
N10 2.165888
C11 1.977666
C12 1.930327
C13 1.876180
C14 1.821274
N15 1.858931
C16 2.192126
C17 2.323226
N18 2.115437
C19 2.226157
C20 2.073638
C21 1.932349
N22 2.035435
N23 2.477383
C24 2.682898
N25 2.859797
C26 2.809291
C27 3.384057
C28 3.311865
C29 2.778900
C30 2.547318
C31 3.192718
O32 3.446059
