#Frame RMSD_Angstrom
9.000000 0.010821
18.000000 2.196234
27.000000 1.557020
36.000000 2.607028
45.000000 2.705442
54.000000 2.518758
63.000000 2.935781
72.000000 2.946589
81.000000 2.848223
90.000000 2.202012
99.000000 2.276372
108.000000 2.071591
117.000000 2.592005
126.000000 2.627117
135.000000 2.715681
144.000000 2.591531
153.000000 2.928993
162.000000 3.062895
171.000000 3.164284
180.000000 2.810376
189.000000 2.986123
198.000000 2.465144
207.000000 2.595820
216.000000 2.874720
225.000000 2.634172
234.000000 2.474271
243.000000 2.820814
252.000000 2.550565
261.000000 2.727469
270.000000 2.286381
279.000000 2.373524
288.000000 2.610574
297.000000 2.536316
306.000000 2.511729
315.000000 2.961039
324.000000 2.600957
333.000000 3.115149
342.000000 3.095087
351.000000 2.924752
360.000000 2.766726
369.000000 2.749767
378.000000 2.295861
387.000000 2.681794
396.000000 2.657561
405.000000 3.186281
414.000000 2.768250
423.000000 2.880295
432.000000 3.031751
441.000000 2.750469
450.000000 2.486310
459.000000 3.210809
468.000000 3.026958
477.000000 3.599391
486.000000 2.645350
495.000000 2.946232
504.000000 2.377419
513.000000 2.307384
522.000000 2.290730
531.000000 3.053610
540.000000 2.902043
549.000000 3.017621
558.000000 2.942314
567.000000 3.095352
576.000000 2.935202
585.000000 2.863394
594.000000 2.848614
603.000000 2.400699
612.000000 2.700742
621.000000 2.879339
630.000000 2.509163
639.000000 3.278278
648.000000 3.265717
657.000000 3.137845
666.000000 3.323471
675.000000 3.026030
684.000000 2.577645
693.000000 2.880742
702.000000 2.806707
711.000000 2.565967
720.000000 2.689773
729.000000 2.967458
738.000000 2.689359
747.000000 2.505895
756.000000 2.990609
765.000000 2.863701
774.000000 2.683889
783.000000 2.593383
792.000000 2.757633
801.000000 2.695513
810.000000 2.959556
819.000000 2.944472
828.000000 3.312372
837.000000 3.228085
846.000000 3.362299
855.000000 2.733259
864.000000 2.812146
873.000000 3.627502
882.000000 3.145764
891.000000 3.191092
900.000000 3.584280
909.000000 3.441347
918.000000 3.062703
927.000000 3.099586
936.000000 2.964852
945.000000 3.535749
954.000000 3.734825
963.000000 3.097186
972.000000 3.053955
981.000000 2.999328
990.000000 2.929272
999.000000 3.082824
