#AtomName RMSF_Angstrom
C 3.005467
C1 2.946583
C2 2.841094
C3 2.962279
C4 3.014890
C5 3.003076
C6 3.066689
F 2.816107
N 3.028420
C7 3.082198
C8 3.130840
C9 3.109421
C10 3.156007
N1 3.185611
C11 3.235745
N2 3.145725
C12 3.341386
C13 3.194078
C14 3.476138
N3 3.368012
C15 3.169508
C16 3.282371
C17 3.568045
C18 3.499980
C19 3.187015
N4 3.295458
C20 3.274487
