#AtomName RMSF_Angstrom
C1 3.429041
N2 2.932204
C3 3.085990
C4 2.685027
O5 2.949102
C6 2.652418
C7 2.624862
C8 2.708293
C9 2.717879
N10 2.818035
C11 2.882680
N12 2.984995
C13 2.885580
C14 2.732901
C15 2.736703
C16 2.842462
N17 2.867509
C18 3.126418
C19 3.204028
N20 3.020519
C21 3.227470
C22 3.153451
C23 3.037287
N24 3.076867
N25 2.997845
C26 2.999907
C27 2.794326
C28 2.810241
