#Frame RMSD_Angstrom
7.000000 0.000000
14.000000 1.485720
21.000000 1.631675
28.000000 2.339437
35.000000 2.551993
42.000000 2.443993
49.000000 2.650309
56.000000 2.253372
63.000000 2.902442
70.000000 2.337616
77.000000 2.419290
84.000000 2.182617
91.000000 2.172069
98.000000 2.014035
105.000000 2.439353
112.000000 2.341613
119.000000 2.092330
126.000000 2.261988
133.000000 2.394479
140.000000 2.970125
147.000000 3.166762
154.000000 3.005500
161.000000 3.662134
168.000000 3.393739
175.000000 3.586730
182.000000 3.352080
189.000000 3.298122
196.000000 3.935223
203.000000 3.594593
210.000000 3.974206
217.000000 3.968269
224.000000 3.774952
231.000000 3.541862
238.000000 3.574528
245.000000 3.381724
252.000000 3.295738
259.000000 3.371060
266.000000 3.386434
273.000000 3.825767
280.000000 3.270943
287.000000 3.072213
294.000000 2.897203
301.000000 2.941081
308.000000 3.212563
315.000000 3.434868
322.000000 3.136333
329.000000 3.074956
336.000000 3.454587
343.000000 3.077112
350.000000 3.332755
357.000000 3.334441
364.000000 3.378476
371.000000 3.479537
378.000000 2.740799
385.000000 2.702205
392.000000 3.044648
399.000000 3.040534
406.000000 2.842395
413.000000 3.446430
420.000000 2.993261
427.000000 3.078082
434.000000 3.485060
441.000000 2.972135
448.000000 2.852804
455.000000 3.286946
462.000000 3.085463
469.000000 2.641663
476.000000 2.693677
483.000000 3.384060
490.000000 3.566436
497.000000 3.331424
504.000000 3.071012
511.000000 3.626832
518.000000 3.614778
525.000000 3.617680
532.000000 4.148883
539.000000 3.612675
546.000000 3.714091
553.000000 3.577340
560.000000 3.204941
567.000000 3.581351
574.000000 3.207283
581.000000 3.375564
588.000000 3.379607
595.000000 3.754365
602.000000 4.041216
609.000000 3.581768
616.000000 3.075299
623.000000 3.328919
630.000000 4.200945
637.000000 4.004969
644.000000 3.790101
651.000000 3.559374
658.000000 3.620106
665.000000 3.465298
672.000000 3.181330
679.000000 4.418135
686.000000 3.911114
693.000000 3.391345
700.000000 3.578064
707.000000 3.265838
714.000000 3.463955
721.000000 3.603292
728.000000 3.365989
